 ,input,/,(,-,=,!=,==,str,},>,float,print,“,int,),>=,in,not,id,else,num,then,*,+,if,for,def,{,:,and,<=,while,,,<,or,%,$
S, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , 
PROG, , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , 
PROGE, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , ,4
DEC, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , 
COL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , 
KEY, , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , 
VARDEC, , , , , , , , , , , , , , ,8, , , ,9, , , , , , , , , , , , , , , , , , 
VARDECNE, , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , 
VARDECNEE, , , , , , , , , , , , , , ,12, , , , , , , , , , , , , , , , , ,11, , , , 
BLOCK, , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , 
ENE, , ,14, , , , ,14,15, ,14,14, ,14, , , , ,14, ,14, , , ,14,14, , , , , ,14, , , , , 
EXP, , ,17, , , , ,22, , ,22,21, ,22, , , , ,23, ,16, , , ,18,20, , , , , ,19, , , , , 
EXPE, ,24,25,24,26,24,24, ,24,24, , , , , ,24, , , , , ,24,24,24, , , , ,24,24,24, ,24,24,24,24, 
EXPEE,28, ,27, , , , ,27, , ,27,27, ,27, , , , ,27, ,27, , , ,27,27, , , , , ,27, , , , , 
KEYWORD, , , , , , , ,31, , ,30, , ,29, , , , , , , , , , , , , , , , , , , , , , , 
QUOTES, , , , , , , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , 
STRING, , , , , , , , , , , , , , , , , , , , ,33, , , , , , , , , , , , , , , , 
STRINGE, , , , , , , , , , , , ,35, , , , , ,34, , , , , , , , , , , , , , , , , , 
ARGS, , ,36, , , , ,36, , ,36,36, ,36,37, , , ,36, ,36, , , ,36,36, , , , , ,36, , , , , 
ARGSNE, , ,38, , , , ,38, , ,38,38, ,38, , , , ,38, ,38, , , ,38,38, , , , , ,38, , , , , 
ARGSNEE, , , , , , , , , , , , , , ,40, , , , , , , , , , , , , , , , , ,39, , , , 
OPLIT, , , , , , , , , , , , , , , , ,41,42, , , , , , , , , , , , , , , , , , , 
IDFR, , , , , , , , , , , , , , , , , , ,43, , , , , , , , , , , , , , , , , , 
INTLIT, , , , , , , , , , , , , , , , , , , , ,44, , , , , , , , , , , , , , , , 
BINOP, ,54, ,52, ,57,45, , ,47, , , , , ,49, , , , , , ,51,50, , , , , ,55,48, , ,46,56,53, 
